0,145.0,145.0,607
10,191.5,283.35,623
20,124.5,382.65,493
30,246.5,226.0,614
40,2626.0,536.2,5000
50,221.5,959.35,683
60,2620.0,779.1,5000
70,165.5,483.45,573
80,189.5,243.55,600
90,231.0,255.9,723
100,660.0,1051.1,1408
110,244.0,809.6,674
120,235.5,377.05,611
130,407.0,569.75,833
140,325.5,964.05,852
150,293.5,765.7,678
160,620.0,639.75,1238
170,390.5,398.9,841
180,287.5,783.65,679
190,276.5,556.3,700
200,378.5,363.15,828
210,137.5,313.5,614
220,379.5,342.05,811
230,233.5,512.0,635
240,562.0,802.15,1146
250,398.5,291.85,981
260,232.5,535.0,743
270,297.5,277.7,794
280,304.0,319.05,701
290,384.5,811.65,781
300,286.0,378.1,698
310,317.5,339.45,773
320,410.0,333.7,1074
330,377.0,284.55,1137
340,308.0,493.6,800
350,254.0,476.5,631
360,286.5,578.4,649
370,267.0,291.7,678
380,457.5,336.0,1064
390,246.5,318.0,632
400,329.5,295.0,846
410,503.0,701.05,1206
420,142.5,359.55,585
430,622.0,571.5,1334
440,305.0,564.15,779
450,206.0,531.7,654
460,331.5,729.5,767
470,454.0,616.85,1179
480,252.0,571.95,635
490,543.5,616.1,1226
500,445.0,607.2,979
510,259.5,592.3,671
520,343.0,306.4,830
530,552.0,340.6,1235
540,189.0,304.2,612
550,259.5,320.45,715
560,252.0,780.0,704
570,155.5,819.9,613
580,212.5,304.5,686
590,320.0,368.3,714
600,504.5,392.7,1185
610,505.5,267.65,1231
620,552.0,385.1,1245
630,225.0,536.6,676
640,226.0,386.3,698
650,311.5,319.15,838
660,2596.5,817.8,5000
670,294.5,316.95,723
680,233.5,326.2,663
690,265.0,328.35,747
700,204.0,267.6,612
710,237.0,553.6,633
720,261.5,272.5,639
730,263.5,478.9,756
740,291.5,299.8,783
750,285.0,299.65,678
760,275.0,532.25,702
770,329.0,533.15,828
780,300.0,786.8,718
790,230.0,780.9,668
800,214.0,364.25,606
810,2468.5,722.5,5000
820,316.0,512.45,750
830,500.0,720.65,1055
840,253.5,318.5,684
850,368.5,508.1,807
860,292.5,307.85,732
870,319.0,519.7,673
880,306.0,321.15,808
890,343.0,586.9,724
900,224.0,580.15,653
910,302.5,494.35,826
920,364.5,568.95,778
930,134.0,307.5,561
940,265.0,511.15,709
950,147.5,282.15,572
960,281.5,968.0,715
970,366.0,539.75,809
